Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-08-01,SKU_13,D,8,8,219,1752,Low,Low,1,0,0
2018-08-01,SKU_14,D,5,7,717,5019,Low,Low,1,0,0
2018-08-01,SKU_15,D,5,7,176,1232,Low,Low,1,0,0
2018-08-01,SKU_16,D,4,7,307,2149,Low,Low,1,0,0
2018-08-01,SKU_70,B,6,6,218,1308,Low,Low,1,0,0
2018-08-01,SKU_71,B,8,7,80,560,Low,Low,1,0,0
2018-08-01,SKU_72,B,6,6,283,1698,Low,Low,1,0,0
2018-08-01,SKU_73,B,7,7,129,903,Low,Low,1,0,0
2018-08-01,SKU_74,B,5,6,132,792,Low,Low,1,0,0
2018-08-01,SKU_75,B,6,7,76,532,Low,Low,1,0,0
2018-08-01,SKU_17,F,7,15,9,135,Medium,Low,0,1,0
2018-08-01,SKU_56,F,6,12,107,1284,Medium,Low,0,1,0
2018-08-01,SKU_76,F,6,13,99,1287,Medium,Low,0,1,0
2018-08-01,SKU_19,F,7,14,26,364,Medium,Low,0,1,0
2018-08-01,SKU_61,F,6,12,135,1620,Medium,Low,0,1,0
2018-08-01,SKU_62,F,6,12,10,120,Medium,Low,0,1,0
2018-08-01,SKU_20,F,7,13,7,91,Medium,Low,0,1,0
2018-08-01,SKU_21,F,6,12,80,960,Medium,Low,0,1,0
2018-08-01,SKU_22,F,7,13,25,325,Medium,Low,0,1,0
2018-08-01,SKU_24,F,6,9,10,90,Low,Low,1,0,0
2018-08-01,SKU_57,F,6,11,108,1188,Medium,Low,0,1,0
2018-08-01,SKU_25,F,6,9,45,405,Low,Low,1,0,0
2018-08-01,SKU_64,F,6,11,95,1045,Medium,Low,0,1,0
2018-08-01,SKU_77,F,6,13,173,2249,Medium,Low,0,1,0
2018-08-01,SKU_58,G,8,11,1,11,Medium,Low,0,1,0
2018-08-01,SKU_69,G,8,11,3,33,Medium,Low,0,1,0
2018-08-01,SKU_26,H,5,8,98,784,Low,Low,1,0,0
2018-08-01,SKU_27,I,5,5,455,2275,Low,Low,1,0,0
2018-08-01,SKU_28,I,15,3,41,123,Low,Low,1,0,0
2018-08-01,SKU_29,I,5,8,53,424,Low,Low,1,0,0
2018-08-01,SKU_30,I,5,4,214,856,Low,Low,1,0,0
2018-08-01,SKU_31,I,10,3,40,120,Low,Low,1,0,0
2018-08-01,SKU_32,I,4,6,311,1866,Low,Low,1,0,0
2018-08-01,SKU_33,G,8,15,6,90,Medium,Low,0,1,0
2018-08-01,SKU_34,G,4,7,110,770,Low,Low,1,0,0
2018-08-01,SKU_35,G,4,7,160,1120,Low,Low,1,0,0
2018-08-01,SKU_36,J,4,11,83,913,Medium,Low,0,1,0
2018-08-01,SKU_37,J,4,10,384,3840,Low,Low,1,0,0
2018-08-01,SKU_39,J,4,11,134,1474,Medium,Low,0,1,0
2018-08-01,SKU_40,J,4,10,588,5880,Low,Low,1,0,0
2018-08-01,SKU_41,J,6,11,210,2310,Medium,Low,0,1,0
2018-08-01,SKU_42,J,6,11,432,4752,Medium,Low,0,1,0
2018-08-01,SKU_43,J,5,10,269,2690,Low,Low,1,0,0
2018-08-01,SKU_44,J,5,10,232,2320,Low,Low,1,0,0
2018-08-01,SKU_45,J,4,9,0,0,Low,Low,1,0,0
2018-08-01,SKU_78,J,6,11,172,1892,Medium,Low,0,1,0
2018-08-01,SKU_46,K,5,9,542,4878,Low,Low,1,0,0
2018-08-01,SKU_66,K,6,8,105,840,Low,Low,1,0,0
2018-08-01,SKU_47,K,5,9,686,6174,Low,Low,1,0,0
2018-08-01,SKU_67,K,6,8,111,888,Low,Low,1,0,0
2018-08-01,SKU_48,L,40,9,115,1035,Low,Low,1,0,0
2018-08-01,SKU_68,M,40,8,10,80,Low,Low,1,0,0
2018-08-01,SKU_65,M,80,11,51,561,Medium,Low,0,1,0
2018-08-01,SKU_51,N,100,6,782,4692,Low,Low,1,0,0
2018-08-01,SKU_52,N,100,5,533,2665,Low,Low,1,0,0
2018-08-01,SKU_55,N,50,3,70,210,Low,Low,1,0,0
2018-09-01,SKU_01,A,13,5,946,4730,Low,Low,1,0,0
2018-09-01,SKU_79,A,6,3,33,99,Low,Low,1,0,0
2018-09-01,SKU_02,B,7,7,6,42,Low,Low,1,0,0
2018-09-01,SKU_03,B,7,6,526,3156,Low,Low,1,0,0
